nome	mail	web	tel	fax	ind	info
AM FIRENZE	commerciale@amfirenze.com	www.amybfashion.com	0039 055 882220	0039 055 882220	Via G. Puccini 25350140 CALENZANO (FI)Italia	Giacche - Foulard - Cinture - Borse - Stivali - Abbigliamento Jackets - Scarves - Belts - Bags - Boots - Clothing
GUMMIWERK KRAIBURG ELASTIK GmbH &amp; Co. KG			0049 08683 7010		Göllstraße, 884529 GOITO (MN)Italia	Azienda tedesca leader nella produzione di tappeti in gomma per stalla e per cavalli. Leading German Company producing rubber stable mats and rubber mats for horses.
CARNIA WELCOME SOC. CONS. A R.L.	info@carniawelcome.it	www.carnia.it	0039 0433 466220	0039 0433 494892	Via Div. Garibaldi 633028 TOLMEZZO (UD)Italia	Enti ed Istituzioni - Turismo equestre Institutions - Equestrian tourism
EUROMETAL di MICHELAZZO ENRICO	info@eurometalcostruzioni.it	www.eurometalcostruzioni.it	0039 0444 795357	0039 0444 896701	Via Riviera Berica 136021 PONTE DI BARBARANO  (VI)Italia	Maneggi - Giostre per sgambatura cavalli - Coperture per maneggi - Capannoni - Steccati - Attrezzature ippiche - Scuderie - Recinzioni fisse con fili di fibre - Recinti mobili o su ruote - Prefabbricati in legno - Porte per box - Tunnel Riding clubs - Horse training roundabouts - Roofing for stables - Sheds - Stockades - Horse riding equipment - Horse stables - Fixed fences - Mobile or wheeled fences - Wood prefabs - Horse-box doors - Tunnel
CHAVALIER	chavalier.magazine@yahoo.it	www.gentedicavalli.blogspot.com	0039 338 4669054	0039 338 6100948	Via Ticino 2920900 MONZA (MB)Italia	Stampa tecnica Trade press
CARGILL S.r.l. (PURINA)	purinacavalli@cargill.com	www.purinacavalli.it	0039 0523 980100	0039 0523 980304	Via Giuseppe Ripamonti, 8920141 MILANO (MI)Italia	Mangimi
F.I.S.E. FEDERAZIONE ITALIANA SPORT EQUESTRI	eventi@fise.it	www.fise.it	0039 06 36858321	0039 06 36858584	Viale Tiziano 7400196 ROMA (RM)Italia	Stand informativo
BARBECUE GRILL'OS	info@gimagroup.com - info@barbecuegima.it	www.barbecuegima.it	0039 338 2904343		Via Liguria 3037060 LUGAGNANO DI SONA (VR)Italia	"Il barbecue a gas, innovativo, in acciaio inox e pietra lavica per una cottura dei cibi sana, salutare ed igienica. Non produce fastidiosi fumi per cui adatto per istallazioni su terrazzi e balconi. Prodotto esclusivamente ""Made in Verona""."
ZAGO LUCA	info@lucazago.com	www.lucazago.com	0039 338 7986207		Via Einaudi 11145100 ROVIGO (RO)Italia	Cinture - Cappelli - Accessori per l'equitazione - Abbigliamento - Arte equestre/Oggettistica - Guanti Belts - Hats - Horse-riding accessories - Clothing - Equestrian Art / Decorative articles - Gloves
JER di ZANONE PAOLO	info@jerstirrup.com	www.jerstirrup.com	0039 0445 367433	0039 0445 379910	Via Trieste 236013 PIOVENE ROCCHETTE (VI)Italia	Staffe personalizzabili per equitazione in alluminio e fibre di carbonio  Riding stirrups
ASSOCIAZIONE NO PROFIT PROGETTO ISLANDER			0039 345 3262087		Via Mario Pagano 4920145   (MI)Italia	Associazione
POGGIANI MIRELLA			0039 075 956171	0039 075 4656165	Via Dei Lecci 906060 PORTO CASTIGLIONE D/LAGO (PG)Italia	Abbigliamento in pelle e accessori per equitazione: cappelli, cinture, giacche, gilet, fibbie
MIASUKI ITALIA S.r.l.	info@miasuki.com	www.miasuki.com	0039 02 9296911	0039 02 92969133	Via Nino Bixio 720129 MILANO (MI)Italia	Abbigliamento per l'equitazione Riding apparel
CAVALLOMANIA S.r.l.	cavallomania94@gmail.com		0039 0185 322483		C.so Garibaldi 103-10716043 CHIAVARI (GE)Italia	Selleria
IHP ITALIAN HORSE PROTECTION ASSOCIATION	ihp@horseprotection.it	www.horseprotection.it	0039 0571 69075	0039 0571 69518	Via Poggio All'Aglione 2350050 MONTAIONE (FI)Italia	Associazione
ALBANO GIUSEPPE		www.giuseppealbanoscultore.com	0039 0161 857292		Via Alpina, 1013874 MOTTALCIATA (BI)Italia	Microfusioni di gioielli in oro, bianco, giallo, rosa, 18kt, 9 kt, platino 950, argento 9258, acciaio inox, fusioni a centrifuga di bigiotteria, gadget, accessori moda, sculture a cera persa e resina
PARELLI INSTRUKTOREN TEAM, H &amp; B VertriebsgesmbH	nherb@parelli-instruktoren.com	www.parelli-instruktoren.com	0043 05572204572	0043 055722045721	Schmalenegg 96850 DORNBIRN ( )AUSTRIA	Original Parelli education, equipment, pads and saddles
NUOVA AFIORDIPELLE	info@nuovafiordipelle.com	www.nuovafiordipelle.com	0039 010 715345	0039 010 715345	Via Valsugana 5/1316164 GENOVA (GE)Italia	Produzione cinture in pelli pregiate e piccola pelletteria
COLTELLERIE SARDE di FORTUNATO TONINO			0039 330 627501	0039 079 799135	Via San Saturnino 907010 ANELA (SS)Italia	Coltellerie sarde artigianali
LANFRANCHI SERGIO	lanfranchisergio@libero.it		0039 0364 534371	0039 0364 534371	Via San Martino, 9725040 ERBANNO DI DARFO BOARIO TERME (BS)Italia	Selleria - Basti per mulo - Attrezzature per cavalli Saddlery - Pack-saddles - Horse riding equipment
SAFI CULOTTIER- FRANCE	safi65@orange.fr		0033 674 300 832		44 Rue du Castelloubon65100 JUNCALAS ( )FRANCIA	Pantaloni da equitazione confezionati artigianalmente
RUITERSTAD	info@ruiterstad.nl	www.ruiterstad.nl	0031 (0)499377311		Industrieweg 3g-h5688DP OIRSCHOT ( )OLANDA	Riding breeches
UMBRIA EQUITAZIONE S.r.l.	info@umbriaequitazione.com	www.umbriaequitazione.com	0039 075 8560191	0039 075 8560650	Via Citernese, 11206016 SAN GIUSTINO (PG)Italia	Finimenti - Coperte - Cavezze - Accessori per l'equitazione - Stivali - Sottoselle - Selleria - Abbigliamento Harness - Blankets - Halters - Horse-riding accessories - Boots - Pads - Saddlery - Clothing
FOOTALL - DE SANTIS S.r.l.	footall@footall.eu	www.footall.eu	0039 011 9222425	0039 011 9226306	Strada Buratto Superiore 110070 SAN CARLO CANAVESE (TO)Italia	Produttore innovativo ferro di cavallo
KOZYSOCKS - AKKOR INTERNATIONAL E.U.R.L.	contact@kozysocks.com	www.kozysocks.com	0033 666 055 761		ZA Mittelfeld 2 rue Alfred Kastler67300 STRASBOURG ( )FRANCIA	Knee-High riders socks made of combed coton and bamboo.
BADIFARM S.r.l.	info@badifarm.com	www.badifarm.com	0039 0331 908003	0039 0331 905171	Via Trento, 1821040 ALBUSCIAGO DI SUMIRAGO (VA)Italia	Recinzioni elettrificate, Recinzioni in legno, recinzioni in ferro, prodotti tecnici per il cavaliere ed il cavallo, Enzimi, Water Flow, Swoopy, Simple Boots, prodotti per cani e animali selvatici
IL CASSETTONE S.r.l.	info@ilcassettone.com	www.ilcassettone.com	0039 0163 55635 - 346 2463218		Località Ortaiolo, snc13010 CIVIASCO (VC)Italia	Attrezzature per equitazione - Military shop
JOSÉ MARIA ANRANGO CACHIMUEL	indioinka@yahoo.it		0039 338 3555618		Calle Atahualpa y Panamericana100450 OTAVALO  ( )ECUADOR	Jewellery and leather handcrafts
RINCO NOLEGGI S.r.l.	info@rinconoleggi.it	www.rinconoleggi.it	0039 045 6631034	0039 045 6631076	Via Abetone, 78 - Fraz. Pellegrina37063 ISOLA DELLA SCALA (VR)Italia	Noleggio box per fiere e manifestazioni ippiche
TUCCI FRANCO	info@francotucci.com	www.francotucci.com	0039 0438 435510	0039 0438 437935	Vicolo Barriera 231058 SUSEGANA (TV)Italia	Stivali da equitazione su misura
LA VITTORIA S.r.l.	info@felicecavallo.it	www.felicecavallo.it	0039 0871 565770	0039 0871 571741	Strada Madonna della Vittoria, 14566100 CHIETI (CH)Italia	Mangimi e lettiera per cavalli
IL RIFUGIO DEGLI ASINELLI ONLUS	info@ilrifugiodegliasinelli.org	www.ilrifugiodegliasinelli.org	0039 015 2551831	0039 015 2551831	Via Zubiena 6213884 MONTAIONE (FI)Italia	"La Fondazione “Il Rifugio degli Asinelli ONLUS” si occupa di salvare asini, muli e bardotti da casi di maltrattamento e abbandono, ovunque essi si trovino. Grazie al supporto di The Donkey Sanctuary, del quale è la base italiana, è sinora riuscita ad accogliere nella sua sede (in via per Zubiena, 62 a Sala Biellese) oltre 150 asini, molti dei quali provenienti dall’estero (Romania, Svizzera, Francia e Grecia). Agli asini vecchi e malati fornisce cure di alto livello, mentre agli asini giovani e sani offre la possibilità di venire affidati a famiglie in grado di garantire loro affetto e attenzioni. Alcuni asinelli, particolarmente predisposti al contatto con gli umani, sono inoltre preparati per aiutare bambini e adulti con bisogni speciali (onoterapia). Obiettivo importante della Fondazione è anche l’educazione al rispetto e alla conoscenza degli asinelli: vengono organizzate visite didattiche guidate del centro per scolaresche o gruppi e gli esperti del Rifugio sono sempre a disposizione per fornire informazioni e supporto. I responsabili del benessere indagano inoltre su casi di maltrattamento e abuso. Per maggiori informazioni: www.ilrifugiodegliasinelli.org Fondazione “Il Rifugio degli Asinelli ONLUS” is the Italian base of The Donkey Sanctuary, English charity working worldwide to protect donkey and mules. Il Rifugio, located in North Italy (Sala Biellese), has already given home to over 150 animals in need, from all Italy, France, Switzerland, Romania and Greece. Il Rifugio provides care and a safe home for mistreated or abandoned animals; rehabilitates them with the help of vets and specialist staff and encourages fostering to loving families; offers free therapy sessions with specially trained donkeys to children with special needs and guided tours for schools. Our welfare officers investigate in case of abuse and mistreatment. Info: www.ilrifugiodegliasinelli.org Co-espositore di: Ihp Italian Horse Protection Association - Montaione (Firenze)"
TOSONI SELLERIA di TOSONI A. &amp; E. S.n.c.	info@tosoniselleria.it	www.tosoniselleriashop.com	0039 030 9960522	0039 030 9961291	Via San Bernardino 22/2625018 MONTICHIARI (BS)Italia	Distributore e produttore Articoli Equitazione Horses, Tecno
KEP ITALIA S.r.l.	info@kepitalia.com	www.kepitalia.com	0039 035 4420996	0039 035 4491564	Via Tribolina 124064 GRUMELLO DEL MONTE (BG)Italia	Caschi di protezione per equitazione
MANGIMI BALDINI di BALDINI GIOVANNI	info@mangimibaldini.it		0039 059 791631	0039 059 791348	Via Bedine, 11741010 LEVIZZANO DI CASTELVETRO (MO)Italia	Attrezzature per cavalli: mangimi, sali minerali, abbeveratoi, mangiatoie, recinti elettrici
MARTA MORGAN	info@martamorgan.it	www.martamorgan.it	0039 0438 971990	0039 0438 971990	Via S. Lucia, 231020 S.PIETRO DI FELETTO (TV)Italia	Creazioni artigianali per il cavallo e il cavaliere, 100% made in Italy. Produzione di sottosella, coperte, giacche, camicie e accessori personalizzati. Handmade creations for the horse and the rider, 100% made in Italy. Saddle pads, rugs, jackets, shirts and accessories are fully customizable.
BENNEVIS CLOTHING CO.	balbirt@aol.com		0044 1215650294	0044 1215651665	Rolfe Street, Smethwick 80FB662AR BIRMINGHAM ( )GRAN BRETAGNA	Wax coats
CAMPARA RICCARDO	info@selleriacampara.it		0039 045 6519056		Via Lessinia 637030 VELO VERONESE (VR)Italia	Commercio articoli per cavallo e cavalliere
PROMOTEX GRAVURES	promotexgravures@gmail.com	www.promotexgravures.com	0033 6 10642143		Le Guiboux53640 LE HORPS ( )FRANCIA	Incisioni su metallo  Gravures et personnalisation sur plaques
CRISTINA SPORT	info@cristinasport.com	www.cristinasport.com	0039 348 7654659	0039 0143 876942	Loc. Bruciata, 21115078 ROCCA GRIMALDA (AL)Italia	Accessori per scuderie - Abbigliamento Accessories for horse stables - Clothing
CLABEL S.r.l.	commerciale@clabel.it	www.clabel.it	0039 030 9060007	0039 030 9038205	Sede commerciale: Via G. Miglio, 1425025 MANERBIO (BS)Italia	Coperture per maneggi - Box - Selleria - Scuderie - Recinzioni e steccati - Prefabbricati in legno - Porte per box - Maneggi Roofing for stables - Boxes - Saddlery - Horse stables - Fences and stockades - Wood prefabs - Horse-box doors - Riding clubs
SIGNORELLI RENATO	signorellirenato@libero.it	www.carrozzeriacalessiesulkysignorelli.it	0039 030 930418 - 334 3270861	0039 030 930418	Via Eloni, 1125026 PONTEVICO (BS)Italia	Carrozze, sulky e calessi per pony e per trottatori - Sulky e Sulkette - Carrozze nuove - Carrozze d'epoca - Calessi per pony e carrozzine piccole - Ghig da lavoro, sulkette per prova velocità - Tutti articoli di produzione italiana Coaches - Sulkies - Gigs - Antique coaches - Coach lamps - Accessories for horse stables - Horse riding products
ROSI S.n.c. di ROSI GIANNI &amp; C.	rosiselleria@libero.it	www.rosiequitazione.it	0039 059 526973	0039 059 526973	Via De Gasperi, 3-541011 CAMPOGALLIANO (MO)Italia	Giacche da concorso - Coperte - Fasce
COMANCHEROS GROUP S.r.l.	info@comancheros.it	www.comancheros.com	0039 0444 861575	0039 0444 789847	Via dei Mestieri, 1336025 NOVENTA VICENTINA (VI)Italia	Articoli per Equitazione, accessori e abbigliamento per Monta Western, per Trekking e Monta Inglese
